origin_no	sort_id	token	number	frequency
1920	11085	hal	136586	3.006e-05
2052	5057	emergency	136539	3.005e-05
1847	10624	##ero	136504	3.005e-05
1870	5066	seventh	136394	3.002e-05
1799	5278	changing	136191	2.998e-05
1939	5368	responsibility	136175	2.997e-05
2077	4806	communications	136166	2.997e-05
2639	8913	##oe	136156	2.997e-05
1822	5147	successfully	136144	2.997e-05
1978	6902	ron	136135	2.996e-05
1834	5575	##ung	136075	2.995e-05
2234	5257	combination	136070	2.995e-05
2258	12190	##rl	136036	2.994e-05
1877	5213	shock	135952	2.992e-05
590	4991	converted	135914	2.992e-05
1300	5279	egypt	135854	2.990e-05
1948	5605	##hip	135794	2.989e-05
2653	4665	##town	135725	2.987e-05
3143	21716	##rom	135651	2.986e-05
1954	5333	raise	135642	2.986e-05
1941	5380	waters	135633	2.985e-05
2222	4575	ryan	135617	2.985e-05
1747	4972	functions	135607	2.985e-05
1734	4905	attorney	135579	2.984e-05
1648	20704	av	135472	2.982e-05
2114	3992	engineer	135452	2.981e-05
2248	4715	soccer	135385	2.980e-05
2026	4993	painted	135330	2.979e-05
1891	4964	fixed	135244	2.977e-05
1993	6962	##ans	135106	2.974e-05
1125	6080	gang	135099	2.974e-05
1861	6302	photo	135082	2.973e-05
1723	4642	cm	135074	2.973e-05
1533	6240	meat	135052	2.973e-05
1866	3620	metres	135050	2.973e-05
1788	5139	54	134978	2.971e-05
1925	5161	educated	134937	2.970e-05
1259	5372	proper	134914	2.970e-05
2103	5036	treaty	134910	2.969e-05
1878	18921	fore	134906	2.969e-05
1892	5344	faces	134905	2.969e-05
2330	18900	##mat	134811	2.967e-05
1937	4981	papers	134765	2.966e-05
3825	4992	provincial	134732	2.966e-05
1400	5134	##ries	134667	2.964e-05
2142	4679	miller	134616	2.963e-05
1417	4694	weren	134516	2.961e-05
1675	13749	ing	134513	2.961e-05
1896	5335	improve	134385	2.958e-05
2057	5016	giant	134369	2.958e-05
2012	7425	worship	134332	2.957e-05
1730	5391	bound	134326	2.957e-05
1899	9543	tin	134251	2.955e-05
2061	5192	shadow	134180	2.953e-05
1806	5078	wore	134170	2.953e-05
2198	5552	saved	134085	2.951e-05
1564	11837	##pen	134023	2.950e-05
1501	5072	chemical	133966	2.949e-05
1729	4591	qualified	133833	2.946e-05
2110	5241	joining	133730	2.944e-05
2808	16475	dev	133635	2.941e-05
2092	24646	stu	133603	2.941e-05
2008	7265	##dra	133575	2.940e-05
2314	4656	earl	133568	2.940e-05
2081	5415	universal	133491	2.938e-05
2771	6030	##ola	133488	2.938e-05
2815	4347	1937	133400	2.936e-05
2055	5771	flesh	133386	2.936e-05
1864	4996	bands	133350	2.935e-05
2165	5394	hero	133337	2.935e-05
1797	5171	typical	133333	2.935e-05
1840	5101	neighborhood	133244	2.933e-05
1881	5019	scenes	133236	2.933e-05
1613	5224	maintained	133220	2.932e-05
1619	10976	##uro	133203	2.932e-05
2027	5838	responded	133180	2.931e-05
1905	7231	##ane	133149	2.931e-05
1547	5843	lock	133136	2.930e-05
9640	5158	occurs	133126	2.930e-05
1933	6148	seek	133114	2.930e-05
1912	4944	architect	133077	2.929e-05
1962	6114	suffering	133014	2.928e-05
2331	4649	les	132992	2.927e-05
1793	5441	maintain	132989	2.927e-05
1631	5387	factor	132919	2.926e-05
2237	6039	fill	132842	2.924e-05
2217	6670	mall	132825	2.924e-05
1458	6011	prove	132813	2.923e-05
1969	5458	tired	132791	2.923e-05
2044	5214	capable	132772	2.922e-05
2179	5222	wins	132728	2.921e-05
2196	5869	las	132724	2.921e-05
2409	13910	##eg	132704	2.921e-05
1956	4789	albert	132635	2.919e-05
1910	4343	4th	132601	2.919e-05
2084	5949	waste	132562	2.918e-05
2347	5311	##pur	132554	2.918e-05
1213	5223	hate	132455	2.915e-05
1989	5323	establish	132413	2.915e-05
1949	5618	profit	132408	2.914e-05
1782	5345	95	132374	2.914e-05
1999	4989	selection	132328	2.913e-05
1951	4902	anymore	132320	2.912e-05
1621	5399	somewhat	132274	2.911e-05
2177	5052	representing	132265	2.911e-05
2530	6212	##van	132244	2.911e-05
1758	7869	##ere	132209	2.910e-05
1936	4529	1919	132200	2.910e-05
1904	5592	gift	132168	2.909e-05
1909	6265	lunch	132095	2.908e-05
1889	5211	investment	132081	2.907e-05
2313	5065	bachelor	132051	2.907e-05
2600	5379	friendly	132035	2.906e-05
1781	5336	colonial	132016	2.906e-05
1994	5095	saturday	131958	2.905e-05
1908	5410	weak	131937	2.904e-05
2184	5413	chin	131930	2.904e-05
2063	5760	pure	131892	2.903e-05
2145	4918	charlie	131871	2.903e-05
2847	5155	producing	131825	2.902e-05
2782	5200	objects	131823	2.902e-05
2037	7087	bull	131730	2.899e-05
2421	5328	views	131728	2.899e-05
2064	4978	hits	131723	2.899e-05
2216	22648	##rac	131723	2.899e-05
1546	7446	##gon	131667	2.898e-05
2045	4977	turkey	131637	2.897e-05
2556	16584	##hit	131617	2.897e-05
2244	14289	##pu	131613	2.897e-05
1764	5266	covering	131607	2.897e-05
1560	5946	##tta	131568	2.896e-05
2161	4943	southwest	131566	2.896e-05
2272	5448	opinion	131560	2.896e-05
2201	5133	tropical	131475	2.894e-05
1893	5218	refers	131467	2.894e-05
2181	18447	##int	131384	2.892e-05
931	4970	chapel	131348	2.891e-05
2149	5201	contributed	131224	2.888e-05
2945	5287	spoken	131197	2.888e-05
2128	5269	locations	131138	2.886e-05
2485	5414	loan	131118	2.886e-05
2166	7601	inn	131087	2.885e-05
2812	5350	goods	131070	2.885e-05
2536	5770	benefit	131034	2.884e-05
1963	10441	##oa	130977	2.883e-05
2175	5955	tip	130959	2.883e-05
1980	7354	sara	130954	2.882e-05
1916	5108	stairs	130945	2.882e-05
2069	7610	pm	130938	2.882e-05
1940	4955	introduction	130934	2.882e-05
2070	5275	argued	130882	2.881e-05
2438	9759	##zu	130862	2.880e-05
1836	5438	feed	130843	2.880e-05
2378	21183	ut	130799	2.879e-05
2042	5208	sisters	130768	2.878e-05
2766	6415	tag	130757	2.878e-05
2060	4689	crazy	130691	2.877e-05
1966	5360	affected	130690	2.877e-05
2787	5033	canal	130648	2.876e-05
1918	5703	balance	130608	2.875e-05
2526	5249	woods	130575	2.874e-05
